area_type,area_name,area_short_name,area_match_name,period,0-14,15-39,40-64,65+,total,median_age
regc,Bay of Plenty Region,Bay of Plenty Region,bay of plenty,2013,60400,78700,92400,48200,279700,40.2
regc,Bay of Plenty Region,Bay of Plenty Region,bay of plenty,2018,65600,95300,101400,58500,320800,39.9
regc,Bay of Plenty Region,Bay of Plenty Region,bay of plenty,2019,66700,98000,102900,60700,328200,39.9
regc,Bay of Plenty Region,Bay of Plenty Region,bay of plenty,2020,67700,102600,104800,63300,338400,39.7
regc,Bay of Plenty Region,Bay of Plenty Region,bay of plenty,2021,68500,103700,105600,65600,343400,39.9
regc,Canterbury Region,Canterbury Region,canterbury,1996,97900,184300,134300,64000,480400,34.4
regc,Canterbury Region,Canterbury Region,canterbury,2001,100100,176100,152800,67700,496700,36.4
regc,Canterbury Region,Canterbury Region,canterbury,2006,104700,185000,175600,74700,540000,37.6
regc,Canterbury Region,Canterbury Region,canterbury,2013,105700,179700,191700,85800,562900,39.5
regc,Canterbury Region,Canterbury Region,canterbury,2018,111600,211800,201200,98200,622800,38.4
regc,Canterbury Region,Canterbury Region,canterbury,2019,112500,215700,202200,101300,631700,38.4
regc,Canterbury Region,Canterbury Region,canterbury,2020,113500,220800,204800,105000,644100,38.5
regc,Canterbury Region,Canterbury Region,canterbury,2021,114000,221600,205600,108600,649800,38.7
regc,Gisborne Region,Gisborne Region,gisborne,1996,13100,16700,12100,5200,47200,31.4
regc,Gisborne Region,Gisborne Region,gisborne,2001,12600,14800,12900,5200,45500,32.8
regc,Gisborne Region,Gisborne Region,gisborne,2006,11900,14400,14200,5500,46000,34.6
regc,Gisborne Region,Gisborne Region,gisborne,2013,11700,14000,14900,6400,47000,35.9
regc,Gisborne Region,Gisborne Region,gisborne,2018,11600,15000,15400,7500,49500,36.6
regc,Gisborne Region,Gisborne Region,gisborne,2019,11700,15300,15500,7800,50200,36.6
regc,Gisborne Region,Gisborne Region,gisborne,2020,11600,15800,15700,8100,51100,36.7
regc,Gisborne Region,Gisborne Region,gisborne,2021,11600,15900,15600,8400,51500,37
regc,Hawke's Bay Region,Hawke's Bay Region,hawkes bay,1996,36100,51500,40500,18500,146600,33.7
regc,Hawke's Bay Region,Hawke's Bay Region,hawkes bay,2001,35900,47100,44800,19500,147300,35.7
regc,Hawke's Bay Region,Hawke's Bay Region,hawkes bay,2006,34600,46700,49800,21000,152100,37.5
regc,Hawke's Bay Region,Hawke's Bay Region,hawkes bay,2013,34500,44000,53200,26200,158000,40.2
regc,Hawke's Bay Region,Hawke's Bay Region,hawkes bay,2018,35700,50100,55600,31000,172400,40.2
regc,Hawke's Bay Region,Hawke's Bay Region,hawkes bay,2019,35900,51200,55900,31900,174900,40.2
regc,Hawke's Bay Region,Hawke's Bay Region,hawkes bay,2020,36000,54000,56700,33000,179700,40
regc,Hawke's Bay Region,Hawke's Bay Region,hawkes bay,2021,36100,54400,57100,34000,181500,40.2
regc,Manawatū-Whanganui Region,Manawatū-Whanganui Region,manawatu whanganui,1996,55900,90100,60000,28600,234500,32.1
regc,Manawatū-Whanganui Region,Manawatū-Whanganui Region,manawatu whanganui,2001,52600,78900,65900,30100,227500,34.7
regc,Manawatū-Whanganui Region,Manawatū-Whanganui Region,manawatu whanganui,2006,49400,75700,71700,32500,229400,36.6
regc,Manawatū-Whanganui Region,Manawatū-Whanganui Region,manawatu whanganui,2013,47500,71300,74500,38000,231200,38.8
regc,Manawatū-Whanganui Region,Manawatū-Whanganui Region,manawatu whanganui,2018,48900,77700,77100,43800,247500,38.9
regc,Manawatū-Whanganui Region,Manawatū-Whanganui Region,manawatu whanganui,2019,49300,78700,77300,45200,250600,38.9
regc,Manawatū-Whanganui Region,Manawatū-Whanganui Region,manawatu whanganui,2020,49700,80300,77700,46800,254500,39
regc,Manawatū-Whanganui Region,Manawatū-Whanganui Region,manawatu whanganui,2021,49800,80700,77800,48200,256500,39.2
regc,Marlborough Region,Marlborough Region,marlborough,1996,8700,13400,11600,5600,39200,36
regc,Marlborough Region,Marlborough Region,marlborough,2001,8500,12300,13700,6300,40700,39.4
regc,Marlborough Region,Marlborough Region,marlborough,2006,8000,12700,15800,7100,43600,41.8
regc,Marlborough Region,Marlborough Region,marlborough,2013,8100,11600,15900,9100,44700,44.6
regc,Marlborough Region,Marlborough Region,marlborough,2018,8400,12900,16600,10800,48700,45.2
regc,Marlborough Region,Marlborough Region,marlborough,2019,8400,13100,16700,11100,49300,45.5
regc,Marlborough Region,Marlborough Region,marlborough,2020,8500,14100,17000,11400,51000,45.1
regc,Marlborough Region,Marlborough Region,marlborough,2021,8500,14200,17000,11800,51500,45.3
regc,Nelson Region,Nelson Region,nelson,1996,8500,15300,11500,5800,41200,35
regc,Nelson Region,Nelson Region,nelson,2001,8900,14500,13400,6100,42900,37.2
regc,Nelson Region,Nelson Region,nelson,2006,8400,14100,15400,6400,44300,39.4
regc,Nelson Region,Nelson Region,nelson,2013,9200,13600,17500,8400,48700,42.2
regc,Nelson Region,Nelson Region,nelson,2018,9200,15300,18200,10000,52700,43
regc,Nelson Region,Nelson Region,nelson,2019,9200,15600,18300,10300,53400,43.1
regc,Nelson Region,Nelson Region,nelson,2020,9200,16200,18500,10800,54700,43
regc,Nelson Region,Nelson Region,nelson,2021,9100,16100,18300,11200,54700,43.4
regc,Northland Region,Northland Region,northland,1996,37200,46600,39900,16900,140700,33.7
regc,Northland Region,Northland Region,northland,2001,36300,43200,45800,19100,144400,36.6
regc,Northland Region,Northland Region,northland,2006,35300,43500,51800,22100,152700,38.8
regc,Northland Region,Northland Region,northland,2013,36400,42900,56500,28900,164700,41.5
regc,Northland Region,Northland Region,northland,2018,38600,50100,61200,36000,185800,42.3
regc,Northland Region,Northland Region,northland,2019,38800,51300,61700,37400,189100,42.4
regc,Northland Region,Northland Region,northland,2020,39500,53100,62700,39100,194300,42.4
regc,Northland Region,Northland Region,northland,2021,39900,54100,63000,40900,197900,42.5
regc,Otago Region,Otago Region,otago,1996,37400,76000,50900,25000,189300,33.6
regc,Otago Region,Otago Region,otago,2001,35500,70300,56800,25800,188300,35.9
regc,Otago Region,Otago Region,otago,2006,34800,73800,63600,27500,199800,36.8
regc,Otago Region,Otago Region,otago,2013,36100,71600,68600,32400,208800,38.7
regc,Otago Region,Otago Region,otago,2018,38000,86000,73200,37800,235000,37.7
regc,Otago Region,Otago Region,otago,2019,38100,88100,74000,39200,239400,37.7
regc,Otago Region,Otago Region,otago,2020,38600,90200,75100,40700,244600,37.8
regc,Otago Region,Otago Region,otago,2021,38900,90100,75500,42200,246700,38.1
regc,Southland Region,Southland Region,southland,1996,23600,36300,27500,11600,99000,33.7
regc,Southland Region,Southland Region,southland,2001,21100,30800,29200,12200,93300,36.6
regc,Southland Region,Southland Region,southland,2006,19600,29600,31000,13000,93200,38
regc,Southland Region,Southland Region,southland,2013,19800,29100,32200,14900,96000,39.3
regc,Southland Region,Southland Region,southland,2018,19800,31000,32900,16800,100500,39.5
regc,Southland Region,Southland Region,southland,2019,19800,31500,33000,17300,101600,39.6
regc,Southland Region,Southland Region,southland,2020,19700,32100,33200,17800,102800,39.7
regc,Southland Region,Southland Region,southland,2021,19600,31800,33100,18300,102700,40
regc,Taranaki Region,Taranaki Region,taranaki,1996,26800,38800,29500,13900,109000,33.6
regc,Taranaki Region,Taranaki Region,taranaki,2001,25000,34000,32000,14800,105700,36.3
regc,Taranaki Region,Taranaki Region,taranaki,2006,23100,33600,34700,15900,107300,38
regc,Taranaki Region,Taranaki Region,taranaki,2013,24100,33400,37900,18200,113600,39.6
regc,Taranaki Region,Taranaki Region,taranaki,2018,25100,35900,39400,20800,121200,39.7
regc,Taranaki Region,Taranaki Region,taranaki,2019,25700,36100,39700,21600,123100,39.8
regc,Taranaki Region,Taranaki Region,taranaki,2020,25900,37000,40100,22300,125200,39.9
regc,Taranaki Region,Taranaki Region,taranaki,2021,26000,37200,40300,22900,126400,40
regc,Tasman Region,Tasman Region,tasman,1996,9100,13300,11600,4800,38800,35.3
regc,Tasman Region,Tasman Region,tasman,2001,9700,13100,14100,5500,42400,37.8
regc,Tasman Region,Tasman Region,tasman,2006,9700,12900,16900,6200,45800,40.3
regc,Tasman Region,Tasman Region,tasman,2013,9700,11700,18700,8700,48800,44
regc,Tasman Region,Tasman Region,tasman,2018,9600,13300,19900,11200,54000,46
regc,Tasman Region,Tasman Region,tasman,2019,9500,13700,20000,11800,54900,46.4
regc,Tasman Region,Tasman Region,tasman,2020,9400,14900,20300,12400,57000,46.3
regc,Tasman Region,Tasman Region,tasman,2021,9400,15000,20500,13000,57900,46.8
regc,Waikato Region,Waikato Region,waikato,1996,89500,136100,94600,38600,358800,31.8
regc,Waikato Region,Waikato Region,waikato,2001,89500,128700,107600,42500,368400,33.8
regc,Waikato Region,Waikato Region,waikato,2006,88700,133000,122600,48900,393200,35.5
regc,Waikato Region,Waikato Region,waikato,2013,92500,134500,136100,61600,424600,37.1
regc,Waikato Region,Waikato Region,waikato,2018,98900,154900,146900,74800,475600,37.1
regc,Waikato Region,Waikato Region,waikato,2019,100500,158600,148800,77800,485700,37.2
regc,Waikato Region,Waikato Region,waikato,2020,102000,164400,151200,81800,499300,37.2
regc,Waikato Region,Waikato Region,waikato,2021,102900,165800,152400,84900,506000,37.4
regc,Wellington Region,Wellington Region,wellington,1996,94400,171600,115400,45500,426900,32.7
regc,Wellington Region,Wellington Region,wellington,2001,96200,166900,129100,48000,440200,34.2
regc,Wellington Region,Wellington Region,wellington,2006,94900,173200,145100,53100,466300,35.3
regc,Wellington Region,Wellington Region,wellington,2013,95000,167900,159700,64100,486700,37.1
regc,Wellington Region,Wellington Region,wellington,2018,95400,188400,167900,74200,525900,37
regc,Wellington Region,Wellington Region,wellington,2019,95600,191700,169200,76100,532600,37
regc,Wellington Region,Wellington Region,wellington,2020,96000,196500,171700,78700,543000,37.1
regc,Wellington Region,Wellington Region,wellington,2021,95500,197800,172800,81000,547000,37.3
regc,West Coast Region,West Coast Region,west coast,1996,7900,11800,9500,4000,33200,34.5
regc,West Coast Region,West Coast Region,west coast,2001,7000,9500,10400,4100,31100,38.1
regc,West Coast Region,West Coast Region,west coast,2006,6500,9400,11700,4500,32100,40.3
regc,West Coast Region,West Coast Region,west coast,2013,6300,8900,12400,5300,33000,42.6
regc,West Coast Region,West Coast Region,west coast,2018,5700,8600,11900,6300,32400,45.5
regc,West Coast Region,West Coast Region,west coast,2019,5600,8500,11700,6600,32500,46.1
regc,West Coast Region,West Coast Region,west coast,2020,5600,8600,11600,7000,32800,46.5
regc,West Coast Region,West Coast Region,west coast,2021,5500,8500,11400,7300,32700,47.2
ta,Ashburton District,Ashburton,ashburton,1996,5500,8400,7800,4000,25700,37.2
ta,Ashburton District,Ashburton,ashburton,2001,5500,7800,8500,4200,26000,39.4
ta,Ashburton District,Ashburton,ashburton,2006,5700,8400,9300,4600,28000,39.8
ta,Ashburton District,Ashburton,ashburton,2013,6700,9700,10600,5300,32300,39.4
ta,Ashburton District,Ashburton,ashburton,2018,7000,10900,10700,6100,34600,38.7
ta,Ashburton District,Ashburton,ashburton,2019,7000,11100,10600,6200,34900,38.5
ta,Ashburton District,Ashburton,ashburton,2020,7000,11500,10700,6400,35700,38.3
ta,Ashburton District,Ashburton,ashburton,2021,7000,11600,10700,6600,35900,38.5
ta,Auckland,Auckland,auckland,1996,255600,451400,296500,112300,1115800,32.1
ta,Auckland,Auckland,auckland,2001,277800,469900,351000,119600,1218300,33.2
ta,Auckland,Auckland,auckland,2006,298200,525100,415600,134000,1373000,33.8
ta,Auckland,Auckland,auckland,2013,311500,539400,472500,169800,1493200,34.8
ta,Auckland,Auckland,auckland,2018,324100,630300,503400,197000,1654800,34.6
ta,Auckland,Auckland,auckland,2019,328600,638300,510500,203900,1681300,34.9
ta,Auckland,Auckland,auckland,2020,333500,649300,520300,213700,1716900,35.1
ta,Auckland,Auckland,auckland,2021,333300,638200,523300,220800,1715600,35.6
ta,Buller District,Buller,buller,1996,2650,3550,3150,1400,10750,35.4
ta,Buller District,Buller,buller,2001,2220,2800,3380,1460,9860,39.5
ta,Buller District,Buller,buller,2006,1930,2640,3800,1570,9940,42.5
ta,Buller District,Buller,buller,2013,2000,2750,4150,1750,10650,43.9
ta,Buller District,Buller,buller,2018,1610,2240,3750,2250,9850,49.3
ta,Buller District,Buller,buller,2019,1530,2170,3650,2400,9760,50.6
ta,Buller District,Buller,buller,2020,1480,2150,3560,2560,9740,51.7
ta,Buller District,Buller,buller,2021,1430,2060,3470,2700,9660,52.9
ta,Carterton District,Carterton,carterton,1996,1690,2190,2120,950,6940,36.1
ta,Carterton District,Carterton,carterton,2001,1600,1980,2420,1000,7000,39.3
ta,Carterton District,Carterton,carterton,2006,1520,1960,2690,1080,7260,41.3
ta,Carterton District,Carterton,carterton,2013,1690,2050,3130,1610,8490,44.1
ta,Carterton District,Carterton,carterton,2018,1780,2250,3350,2130,9510,46.2
ta,Carterton District,Carterton,carterton,2019,1790,2270,3360,2230,9660,46.7
ta,Carterton District,Carterton,carterton,2020,1810,2340,3400,2340,9890,47
ta,Carterton District,Carterton,carterton,2021,1800,2400,3400,2450,10050,47.4
ta,Central Hawke's Bay District,Central Hawke's Bay,central hawkes bay,1996,3500,4550,3800,1500,13350,33.7
ta,Central Hawke's Bay District,Central Hawke's Bay,central hawkes bay,2001,3200,4100,4300,1600,13200,36.5
ta,Central Hawke's Bay District,Central Hawke's Bay,central hawkes bay,2006,2950,3800,4750,1750,13250,39.2
ta,Central Hawke's Bay District,Central Hawke's Bay,central hawkes bay,2013,2750,3350,4900,2250,13250,43.2
ta,Central Hawke's Bay District,Central Hawke's Bay,central hawkes bay,2018,3050,3650,5100,2850,14650,43.6
ta,Central Hawke's Bay District,Central Hawke's Bay,central hawkes bay,2019,3100,3750,5100,3000,14900,43.7
ta,Central Hawke's Bay District,Central Hawke's Bay,central hawkes bay,2020,3150,3950,5150,3150,15350,43.5
ta,Central Hawke's Bay District,Central Hawke's Bay,central hawkes bay,2021,3200,4050,5100,3300,15600,43.7
ta,Central Otago District,Central Otago,central otago,1996,3300,4800,4800,2300,15250,37.8
ta,Central Otago District,Central Otago,central otago,2001,2900,3850,5350,2600,14750,42.6
ta,Central Otago District,Central Otago,central otago,2006,3150,4550,6400,3000,17050,43.5
ta,Central Otago District,Central Otago,central otago,2013,3400,4250,6950,3900,18500,46.6
ta,Central Otago District,Central Otago,central otago,2018,3700,5800,7800,5000,22200,46.2
ta,Central Otago District,Central Otago,central otago,2019,3800,6100,8000,5200,23000,46.3
ta,Central Otago District,Central Otago,central otago,2020,3900,6700,8200,5500,24200,45.8
ta,Central Otago District,Central Otago,central otago,2021,3900,6900,8300,5700,24800,45.9
ta,Chatham Islands Territory,Chatham Islands,chatham islands,1996,200,300,220,40,760,30.8
ta,Chatham Islands Territory,Chatham Islands,chatham islands,2001,180,290,240,40,750,33.1
ta,Chatham Islands Territory,Chatham Islands,chatham islands,2006,150,230,220,50,650,36.1
ta,Chatham Islands Territory,Chatham Islands,chatham islands,2013,120,160,250,70,600,42.3
ta,Chatham Islands Territory,Chatham Islands,chatham islands,2018,110,220,260,90,690,41.3
ta,Chatham Islands Territory,Chatham Islands,chatham islands,2019,110,240,260,90,710,40.6
ta,Chatham Islands Territory,Chatham Islands,chatham islands,2020,130,250,270,100,750,39.9
ta,Chatham Islands Territory,Chatham Islands,chatham islands,2021,130,260,280,100,780,39.4
ta,Christchurch City,Christchurch,christchurch,1996,63400,130900,87800,43600,325700,33.8
ta,Christchurch City,Christchurch,christchurch,2001,64400,126400,99200,45200,335300,35.5
ta,Christchurch City,Christchurch,christchurch,2006,67300,133300,112700,48500,361800,36.3
ta,Christchurch City,Christchurch,christchurch,2013,64000,123300,117400,52100,356700,38.1
ta,Christchurch City,Christchurch,christchurch,2018,65100,142200,119800,56600,383800,36.9
ta,Christchurch City,Christchurch,christchurch,2019,65300,144000,119900,57900,387200,36.9
ta,Christchurch City,Christchurch,christchurch,2020,65500,146000,120800,59500,391900,37
ta,Christchurch City,Christchurch,christchurch,2021,65300,145200,120500,61200,392100,37.3
ta,Clutha District,Clutha,clutha,1996,4350,6550,5350,2150,18400,34.4
ta,Clutha District,Clutha,clutha,2001,4050,5500,5800,2250,17550,37.5
ta,Clutha District,Clutha,clutha,2006,3900,5000,6000,2300,17200,38.8
ta,Clutha District,Clutha,clutha,2013,3600,4650,6300,2700,17250,41.3
ta,Clutha District,Clutha,clutha,2018,3400,5100,6400,3150,18050,42.4
ta,Clutha District,Clutha,clutha,2019,3400,5150,6400,3200,18150,42.6
ta,Clutha District,Clutha,clutha,2020,3450,5300,6350,3350,18400,42.4
ta,Clutha District,Clutha,clutha,2021,3450,5300,6300,3450,18500,42.6
ta,Dunedin City,Dunedin,dunedin,1996,22800,51500,30800,15600,120800,32.3
ta,Dunedin City,Dunedin,dunedin,2001,21500,48400,33900,15500,119300,33.8
ta,Dunedin City,Dunedin,dunedin,2006,20300,49000,36800,16200,122300,34.8
ta,Dunedin City,Dunedin,dunedin,2013,20000,46600,38600,18200,123500,36.4
ta,Dunedin City,Dunedin,dunedin,2018,20300,50600,39700,20700,131200,36.3
ta,Dunedin City,Dunedin,dunedin,2019,20200,50800,39700,21400,132100,36.6
ta,Dunedin City,Dunedin,dunedin,2020,20200,50700,39900,22000,132800,37
ta,Dunedin City,Dunedin,dunedin,2021,20300,50400,39900,22700,133300,37.3
ta,Far North District,Far North,far north,1996,15200,17700,15600,6100,54500,33.4
ta,Far North District,Far North,far north,2001,14900,16400,18100,7000,56400,36.3
ta,Far North District,Far North,far north,2006,13800,15700,20000,7900,57500,39
ta,Far North District,Far North,far north,2013,13800,15100,21300,10500,60600,42
ta,Far North District,Far North,far north,2018,14500,17600,22800,13000,67900,42.8
ta,Far North District,Far North,far north,2019,14600,18000,23000,13600,69200,42.9
ta,Far North District,Far North,far north,2020,14800,18800,23500,14200,71300,42.9
ta,Far North District,Far North,far north,2021,15000,19200,23500,14800,72600,43
ta,Gisborne District,Gisborne,gisborne,1996,13100,16700,12100,5200,47200,31.4
ta,Gisborne District,Gisborne,gisborne,2001,12600,14800,12900,5200,45500,32.8
ta,Gisborne District,Gisborne,gisborne,2006,11900,14400,14200,5500,45900,34.6
ta,Gisborne District,Gisborne,gisborne,2013,11700,14000,14900,6400,47000,35.9
ta,Gisborne District,Gisborne,gisborne,2018,11600,15000,15400,7500,49500,36.6
ta,Gisborne District,Gisborne,gisborne,2019,11700,15300,15500,7800,50200,36.6
ta,Gisborne District,Gisborne,gisborne,2020,11600,15800,15700,8100,51100,36.7
ta,Gisborne District,Gisborne,gisborne,2021,11600,15900,15600,8400,51500,37
ta,Gore District,Gore,gore,1996,3250,4750,3700,1850,13500,34.5
ta,Gore District,Gore,gore,2001,2900,4000,3900,1950,12750,37.4
ta,Gore District,Gore,gore,2006,2600,3500,4200,2100,12400,40.5
ta,Gore District,Gore,gore,2013,2500,3350,4250,2350,12400,42.5
ta,Gore District,Gore,gore,2018,2450,3550,4300,2550,12800,43.2
ta,Gore District,Gore,gore,2019,2350,3600,4300,2600,12850,43.3
ta,Gore District,Gore,gore,2020,2400,3700,4300,2600,13000,43
ta,Gore District,Gore,gore,2021,2350,3750,4250,2700,13050,43
ta,Grey District,Grey,grey,1996,3350,5100,3900,1650,14000,34
ta,Grey District,Grey,grey,2001,3050,4150,4300,1700,13200,37.2
ta,Grey District,Grey,grey,2006,2950,4100,4700,1850,13550,38.8
ta,Grey District,Grey,grey,2013,2750,3750,5050,2200,13700,41.7
ta,Grey District,Grey,grey,2018,2600,3750,4900,2500,13750,43.6
ta,Grey District,Grey,grey,2019,2650,3800,4800,2600,13850,43.7
ta,Grey District,Grey,grey,2020,2650,3900,4800,2700,14100,43.7
ta,Grey District,Grey,grey,2021,2650,3900,4750,2800,14100,43.8
ta,Hamilton City,Hamilton,hamilton,1996,25400,49500,27600,11000,113500,29.4
ta,Hamilton City,Hamilton,hamilton,2001,27400,49900,32000,11900,121200,30.6
ta,Hamilton City,Hamilton,hamilton,2006,29100,55300,36900,13500,134800,31.1
ta,Hamilton City,Hamilton,hamilton,2013,32300,58700,42300,16800,150200,31.8
ta,Hamilton City,Hamilton,hamilton,2018,35400,67600,46000,19500,168600,32.1
ta,Hamilton City,Hamilton,hamilton,2019,36000,69400,46900,20200,172500,32.2
ta,Hamilton City,Hamilton,hamilton,2020,36600,71500,47800,21000,176900,32.4
ta,Hamilton City,Hamilton,hamilton,2021,37100,71700,48200,21600,178500,32.7
ta,Hastings District,Hastings,hastings,1996,17300,24100,18600,8000,68100,33
ta,Hastings District,Hastings,hastings,2001,17700,22500,20800,8500,69600,34.8
ta,Hastings District,Hastings,hastings,2006,17500,22700,23600,9400,73200,36.5
ta,Hastings District,Hastings,hastings,2013,17600,21600,25700,11700,76700,39.1
ta,Hastings District,Hastings,hastings,2018,18100,25500,27100,14000,84700,38.7
ta,Hastings District,Hastings,hastings,2019,18200,26100,27300,14500,86000,38.7
ta,Hastings District,Hastings,hastings,2020,18200,28000,27900,15000,89100,38.4
ta,Hastings District,Hastings,hastings,2021,18200,28200,28100,15500,90100,38.6
ta,Hauraki District,Hauraki,hauraki,1996,5000,6250,5100,2250,18550,33.5
ta,Hauraki District,Hauraki,hauraki,2001,4550,5150,5700,2550,18000,37.5
ta,Hauraki District,Hauraki,hauraki,2006,4050,4850,6350,3050,18300,41.1
ta,Hauraki District,Hauraki,hauraki,2013,3650,4500,6450,4000,18600,45
ta,Hauraki District,Hauraki,hauraki,2018,3800,5100,6900,4800,20700,46.6
ta,Hauraki District,Hauraki,hauraki,2019,3900,5200,6900,5000,21000,46.9
ta,Hauraki District,Hauraki,hauraki,2020,3900,5300,7000,5300,21500,47.1
ta,Hauraki District,Hauraki,hauraki,2021,4000,5300,7000,5500,21800,47.5
ta,Horowhenua District,Horowhenua,horowhenua,1996,7300,9800,8500,5200,30800,36.1
ta,Horowhenua District,Horowhenua,horowhenua,2001,7000,8700,9400,5600,30600,39.3
ta,Horowhenua District,Horowhenua,horowhenua,2006,6500,7900,10100,6100,30600,42.2
ta,Horowhenua District,Horowhenua,horowhenua,2013,6000,7500,10400,7300,31200,45.7
ta,Horowhenua District,Horowhenua,horowhenua,2018,6300,8800,11100,8300,34500,46.2
ta,Horowhenua District,Horowhenua,horowhenua,2019,6400,9000,11200,8600,35100,46.1
ta,Horowhenua District,Horowhenua,horowhenua,2020,6500,9300,11200,8800,35900,46.1
ta,Horowhenua District,Horowhenua,horowhenua,2021,6600,9500,11300,9000,36500,46.1
ta,Hurunui District,Hurunui,hurunui,1996,2300,3050,3090,1170,9620,36.7
ta,Hurunui District,Hurunui,hurunui,2001,2350,2850,3600,1350,10150,39.1
ta,Hurunui District,Hurunui,hurunui,2006,2300,2850,4050,1550,10750,41.3
ta,Hurunui District,Hurunui,hurunui,2013,2350,3100,4450,2100,12000,43.4
ta,Hurunui District,Hurunui,hurunui,2018,2450,3400,4550,2550,12950,44.1
ta,Hurunui District,Hurunui,hurunui,2019,2450,3400,4550,2650,13100,44.5
ta,Hurunui District,Hurunui,hurunui,2020,2450,3550,4550,2800,13350,44.6
ta,Hurunui District,Hurunui,hurunui,2021,2500,3500,4600,2900,13450,44.9
ta,Invercargill City,Invercargill,invercargill,1996,12500,20400,14600,6700,54200,33.4
ta,Invercargill City,Invercargill,invercargill,2001,11300,17300,15500,7000,51100,36.2
ta,Invercargill City,Invercargill,invercargill,2006,10500,17100,16600,7500,51600,37.5
ta,Invercargill City,Invercargill,invercargill,2013,10600,16800,17400,8500,53200,38.9
ta,Invercargill City,Invercargill,invercargill,2018,10800,17800,17800,9500,55900,39
ta,Invercargill City,Invercargill,invercargill,2019,10900,18000,17900,9700,56600,39.1
ta,Invercargill City,Invercargill,invercargill,2020,10800,18400,18000,10000,57100,39.2
ta,Invercargill City,Invercargill,invercargill,2021,10700,18100,18000,10200,57000,39.6
ta,Kaikoura District,Kaikoura,kaikoura,1996,840,1170,1060,510,3590,36
ta,Kaikoura District,Kaikoura,kaikoura,2001,710,1090,1230,550,3580,39.9
ta,Kaikoura District,Kaikoura,kaikoura,2006,690,1110,1370,560,3730,41.3
ta,Kaikoura District,Kaikoura,kaikoura,2013,630,910,1380,710,3640,45.7
ta,Kaikoura District,Kaikoura,kaikoura,2018,650,1100,1450,850,4060,46
