name,year,a0014,a1539,a4064,a6500,atot,p0014,p1539,p4064,p6500,medage
Waikato district,2020,19000,25700,28000,10900,83700,22.7,30.7,33.5,13.1,37.3
Waikato district,2021,19300,26400,28500,11600,85900,22.5,30.8,33.2,13.5,37.4
Matamata-Piako district,2018,7100,10400,11000,6900,35300,20,29.4,31,19.6,40.6
Matamata-Piako district,2019,7100,10600,11000,7100,35800,19.8,29.5,30.8,19.9,40.6
Matamata-Piako district,2020,7100,10800,11100,7400,36300,19.4,29.8,30.4,20.3,40.7
Matamata-Piako district,2021,7100,10900,11000,7600,36700,19.4,29.7,30.1,20.8,40.9
Hamilton city,2018,35400,67600,46000,19500,168600,21,40.1,27.3,11.6,32.1
Hamilton city,2019,36000,69400,46900,20200,172500,20.9,40.2,27.2,11.7,32.2
Hamilton city,2020,36600,71500,47800,21000,176900,20.7,40.4,27,11.9,32.4
Hamilton city,2021,37100,71700,48200,21600,178500,20.8,40.2,27,12.1,32.7
Waipa district,2018,11200,16100,18000,9700,55000,20.4,29.3,32.7,17.6,40.2
Waipa district,2019,11600,16500,18200,10100,56400,20.5,29.2,32.3,17.9,40.2
Waipa district,2020,11800,17500,18600,10700,58600,20.2,29.8,31.7,18.3,40
Waipa district,2021,11900,17700,18800,11100,59500,20,29.8,31.6,18.6,40.2
Ōtorohanga district,2018,2350,3400,3250,1550,10500,22.5,32.3,30.7,14.6,36
Ōtorohanga district,2019,2350,3400,3250,1600,10600,22.2,32.1,30.7,14.9,36.2
Ōtorohanga district,2020,2300,3500,3250,1650,10700,21.6,32.5,30.3,15.5,36.5
Ōtorohanga district,2021,2300,3500,3300,1700,10750,21.1,32.6,30.5,15.8,36.9
South Waikato district,2018,5700,7400,7700,4000,24800,22.9,29.8,31.1,16.2,37.3
South Waikato district,2019,5700,7500,7800,4100,25100,22.6,30,30.9,16.5,37.3
South Waikato district,2020,5700,7700,7700,4300,25400,22.5,30.3,30.4,16.7,37.2
South Waikato district,2021,5700,7700,7700,4400,25500,22.5,30.4,30,17.1,37.2
Waitomo district,2018,2110,2940,3100,1490,9630,21.9,30.5,32.2,15.4,37.9
Waitomo district,2019,2100,2890,3070,1530,9600,21.9,30.1,32,15.9,38.3
Waitomo district,2020,2070,2920,3090,1580,9660,21.4,30.2,32,16.4,38.7
Waitomo district,2021,2030,2880,3080,1640,9640,21.1,29.9,32,17,39.2
Taupō district,2018,7800,11000,12500,7300,38600,20.2,28.5,32.3,19,41.1
Taupō district,2019,7900,11200,12600,7700,39400,20.1,28.5,32.1,19.4,41.3
Taupō district,2020,7900,11600,12900,8100,40400,19.5,28.6,31.8,20,41.6
Taupō district,2021,8000,11600,12900,8500,41000,19.4,28.4,31.5,20.6,41.9
Western Bay of Plenty district,2018,9800,14000,18500,11100,53300,18.3,26.3,34.7,20.8,44.9
Western Bay of Plenty district,2019,9900,14300,18800,11800,54800,18.1,26.2,34.3,21.4,45.2
Western Bay of Plenty district,2020,10100,15200,19200,12400,57000,17.7,26.7,33.7,21.8,45.2
Western Bay of Plenty district,2021,10200,15500,19400,13000,58100,17.6,26.6,33.4,22.4,45.5
Tauranga city,2018,28200,42700,43600,27600,142100,19.9,30,30.7,19.4,40.1
Tauranga city,2019,28900,44400,44500,28600,146400,19.7,30.3,30.4,19.5,40
Tauranga city,2020,29500,47100,45800,29800,152200,19.4,31,30.1,19.6,39.7
Tauranga city,2021,30000,48000,46400,30900,155200,19.3,30.9,29.9,19.9,39.8
Rotorua district,2018,16400,24400,23400,10600,74800,22,32.6,31.3,14.2,36.1
Rotorua district,2019,16600,24700,23600,10800,75700,21.9,32.7,31.1,14.3,36.1
Rotorua district,2020,16700,25500,23800,11100,77100,21.6,33,30.9,14.4,36
Rotorua district,2021,16800,25300,23900,11400,77400,21.7,32.7,30.9,14.8,36.3
Whakatāne district,2018,8200,10600,12000,6300,37100,22.2,28.5,32.3,17.1,39.4
Whakatāne district,2019,8300,10700,12000,6600,37500,22,28.6,31.9,17.5,39.4
Whakatāne district,2020,8400,10900,12000,6800,38100,21.9,28.7,31.4,17.9,39.3
Whakatāne district,2021,8400,11000,11800,7200,38400,21.8,28.7,30.8,18.6,39.4
Kawerau district,2018,1760,2130,2100,1470,7460,23.6,28.6,28.1,19.7,37.8
Kawerau district,2019,1760,2140,2120,1530,7550,23.3,28.4,28,20.3,38.3
Kawerau district,2020,1750,2150,2110,1600,7610,23,28.3,27.8,21,38.7
Kawerau district,2021,1760,2160,2110,1650,7670,22.9,28.1,27.5,21.5,39
Ōpōtiki district,2018,2140,2720,3120,1680,9670,22.1,28.2,32.3,17.4,39.7
Ōpōtiki district,2019,2230,2820,3160,1740,9950,22.4,28.4,31.8,17.5,39.2
Ōpōtiki district,2020,2250,2950,3200,1800,10150,22.1,29.1,31.4,17.5,38.8
Ōpōtiki district,2021,2250,3000,3200,1850,10300,22,29.1,31,17.8,38.7
Gisborne district,2018,11600,15000,15400,7500,49500,23.4,30.4,31,15.2,36.6
Gisborne district,2019,11700,15300,15500,7800,50200,23.2,30.5,30.9,15.4,36.6
Gisborne district,2020,11600,15800,15700,8100,51100,22.8,30.9,30.6,15.7,36.7
Gisborne district,2021,11600,15900,15600,8400,51500,22.5,30.9,30.3,16.2,37
Wairoa district,2018,2020,2480,2740,1490,8720,23.2,28.4,31.4,17.1,38.4
Wairoa district,2019,2050,2510,2720,1520,8800,23.3,28.5,30.9,17.3,38.4
Wairoa district,2020,2080,2560,2710,1600,8950,23.2,28.6,30.3,17.9,38.4
Wairoa district,2021,2070,2580,2750,1640,9040,23,28.5,30.4,18.1,38.5
Hastings district,2018,18100,25500,27100,14000,84700,21.4,30.1,32,16.5,38.7
Hastings district,2019,18200,26100,27300,14500,86000,21.1,30.3,31.8,16.8,38.7
Hastings district,2020,18200,28000,27900,15000,89100,20.4,31.4,31.3,16.9,38.4
Hastings district,2021,18200,28200,28100,15500,90100,20.2,31.3,31.2,17.2,38.6
Napier city,2018,12500,18500,20600,12600,64200,19.5,28.7,32.1,19.7,41.6
Napier city,2019,12600,18800,20700,12900,65100,19.3,29,31.9,19.8,41.5
Napier city,2020,12500,19500,21000,13200,66200,18.9,29.4,31.7,20,41.5
Napier city,2021,12500,19500,21000,13600,66700,18.8,29.2,31.6,20.4,41.7
Central Hawke's Bay district,2018,3050,3650,5100,2850,14650,20.8,25,34.7,19.5,43.6
Central Hawke's Bay district,2019,3100,3750,5100,3000,14900,20.9,25,34,20.1,43.7
Central Hawke's Bay district,2020,3150,3950,5150,3150,15350,20.5,25.6,33.4,20.4,43.5
Central Hawke's Bay district,2021,3200,4050,5100,3300,15600,20.4,25.8,32.7,21.1,43.7
New Plymouth district,2018,16800,24600,27200,14700,83300,20.2,29.5,32.7,17.7,40.3
New Plymouth district,2019,17200,24800,27400,15300,84700,20.4,29.3,32.3,18,40.3
New Plymouth district,2020,17400,25500,27700,15800,86400,20.1,29.5,32.1,18.3,40.3
New Plymouth district,2021,17500,25700,28000,16200,87300,20,29.4,32,18.5,40.4
Stratford district,2018,2070,2890,3090,1670,9710,21.3,29.7,31.8,17.2,39.2
Stratford district,2019,2120,2890,3120,1760,9890,21.4,29.3,31.5,17.8,39.3
Stratford district,2020,2150,2950,3150,1800,10000,21.5,29.3,31.4,17.8,39.1
Stratford district,2021,2150,3000,3100,1850,10100,21.4,29.4,30.7,18.5,39.2
South Taranaki district,2018,6300,8400,9200,4400,28300,22.2,29.8,32.4,15.6,38.4
South Taranaki district,2019,6400,8500,9200,4600,28600,22.2,29.6,32.2,16,38.5
South Taranaki district,2020,6400,8600,9300,4700,29000,22,29.6,32.1,16.3,38.6
South Taranaki district,2021,6400,8600,9300,4900,29100,22,29.4,31.9,16.8,38.9
Ruapehu district,2018,2800,3800,4200,1950,12750,21.8,29.7,33.1,15.4,38.6
Ruapehu district,2019,2800,3750,4200,2050,12800,21.8,29.4,32.7,16.1,38.9
Ruapehu district,2020,2800,3800,4200,2150,12950,21.6,29.3,32.3,16.8,39.1
Ruapehu district,2021,2750,3750,4150,2300,12900,21.2,29,32.1,17.7,39.8
Whanganui district,2018,9100,13100,15100,9500,46800,19.5,28,32.3,20.3,42.5
Whanganui district,2019,9200,13200,15000,9800,47200,19.4,27.9,31.9,20.8,42.7
Whanganui district,2020,9200,13500,15100,10100,47900,19.2,28.1,31.5,21.2,42.7
Whanganui district,2021,9200,13600,15100,10400,48400,19.1,28.1,31.2,21.5,42.7
Rangitikei district,2018,3150,4400,5000,2850,15450,20.6,28.4,32.5,18.5,41
Rangitikei district,2019,3150,4550,5000,2950,15650,20.3,29,31.9,18.8,40.8
Rangitikei district,2020,3200,4700,5000,3050,15900,20.1,29.4,31.4,19.1,40.5
Rangitikei district,2021,3200,4700,4950,3150,16050,20,29.5,31,19.6,40.6
Manawatu district,2018,6400,8900,10400,5500,31100,20.5,28.6,33.3,17.7,40.8
Manawatu district,2019,6500,9100,10300,5800,31700,20.5,28.7,32.6,18.2,40.8
Manawatu district,2020,6700,9500,10400,6000,32500,20.5,29.1,32.1,18.3,40.4
Manawatu district,2021,6700,9700,10500,6200,33000,20.4,29.2,31.7,18.7,40.4
Palmerston North city,2018,17200,33700,25100,12300,88300,19.5,38.1,28.4,14,33.7
Palmerston North city,2019,17400,34000,25300,12600,89300,19.5,38.1,28.3,14.1,33.9
Palmerston North city,2020,17500,34300,25600,13000,90400,19.3,37.9,28.3,14.4,34.2
Palmerston North city,2021,17400,34100,25700,13400,90500,19.2,37.7,28.3,14.7,34.5
Tararua district,2018,3900,5050,6150,3350,18450,21.2,27.3,33.4,18.1,41.5
Tararua district,2019,3900,5150,6200,3450,18700,20.8,27.6,33.2,18.5,41.6
Tararua district,2020,3900,5200,6150,3600,18900,20.5,27.7,32.7,19.1,41.8
Tararua district,2021,3900,5250,6150,3750,19050,20.4,27.7,32.2,19.7,41.9
Horowhenua district,2018,6300,8800,11100,8300,34500,18.2,25.4,32.2,24.2,46.2
Horowhenua district,2019,6400,9000,11200,8600,35100,18.2,25.6,31.8,24.4,46.1
Horowhenua district,2020,6500,9300,11200,8800,35900,18.1,26,31.3,24.6,46.1
Horowhenua district,2021,6600,9500,11300,9000,36500,18.2,26.1,30.9,24.8,46.1
Kapiti Coast district,2018,9500,13000,18500,14200,55200,17.1,23.5,33.5,25.8,47.7
Kapiti Coast district,2019,9500,13300,18800,14600,56100,16.8,23.7,33.5,26,48
Kapiti Coast district,2020,9500,13800,19100,15000,57400,16.6,24,33.3,26.1,48.2
Kapiti Coast district,2021,9400,14000,19300,15300,58000,16.2,24.2,33.3,26.3,48.5
Porirua city,2018,13700,19600,18700,6800,58900,23.2,33.4,31.8,11.6,35
Porirua city,2019,13800,20000,18900,7100,59800,23,33.5,31.7,11.9,35.2
Porirua city,2020,14000,20400,19200,7400,61000,22.9,33.4,31.5,12.2,35.4
Porirua city,2021,14100,20600,19400,7700,61900,22.7,33.4,31.4,12.5,35.5
Upper Hutt city,2018,8700,14700,15300,6700,45400,19.2,32.3,33.8,14.8,38.9
Upper Hutt city,2019,8900,15000,15500,6800,46200,19.3,32.5,33.5,14.7,38.6
Upper Hutt city,2020,9100,15200,15600,7000,46900,19.4,32.5,33.2,14.9,38.6
Upper Hutt city,2021,9200,15500,15700,7200,47500,19.4,32.6,33,15.1,38.6
Lower Hutt city,2018,21600,37600,34800,14600,108600,19.9,34.7,32,13.4,36.8
Lower Hutt city,2019,21800,38200,35000,14900,109900,19.8,34.8,31.9,13.5,36.8
Lower Hutt city,2020,21900,39100,35600,15400,112000,19.6,34.9,31.8,13.7,36.9
Lower Hutt city,2021,22100,39100,35800,15800,112800,19.6,34.7,31.8,14,37.1
Wellington city,2018,33300,91400,64600,21900,211200,15.8,43.3,30.6,10.4,33.9
Wellington city,2019,32900,92800,65000,22300,212900,15.4,43.6,30.5,10.5,33.9
Wellington city,2020,32600,95100,66000,23000,216700,15,43.9,30.5,10.6,33.9
Wellington city,2021,31800,95400,66200,23600,217000,14.7,43.9,30.5,10.9,34.1
Masterton district,2018,5000,7400,8500,5500,26400,19,28.1,32.1,20.8,42.9
Masterton district,2019,5000,7600,8600,5700,26900,18.8,28.3,31.8,21.2,42.9
Masterton district,2020,5100,8000,8600,6000,27700,18.5,28.8,31,21.6,42.6
Masterton district,2021,5200,8100,8700,6300,28200,18.3,28.8,30.7,22.2,42.7
Carterton district,2018,1780,2250,3350,2130,9510,18.7,23.7,35.2,22.4,46.2
Carterton district,2019,1790,2270,3360,2230,9660,18.5,23.5,34.8,23.1,46.7
Carterton district,2020,1810,2340,3400,2340,9890,18.3,23.7,34.3,23.6,47
Carterton district,2021,1800,2400,3400,2450,10050,18.1,23.9,34,24.1,47.4
South Wairarapa district,2018,1950,2500,4100,2400,10900,17.7,23,37.4,21.9,46.9
South Wairarapa district,2019,1950,2550,4100,2500,11100,17.6,22.9,36.9,22.5,47.3
South Wairarapa district,2020,2000,2650,4200,2600,11450,17.4,23.1,36.7,22.8,47.5
South Wairarapa district,2021,2000,2650,4250,2700,11650,17.1,22.9,36.6,23.4,48
Tasman district,2018,9600,13300,19900,11200,54000,17.8,24.7,36.8,20.7,46
Tasman district,2019,9500,13700,20000,11800,54900,17.3,25,36.4,21.4,46.4
Tasman district,2020,9400,14900,20300,12400,57000,16.5,26.1,35.6,21.8,46.3
Tasman district,2021,9400,15000,20500,13000,57900,16.2,26,35.4,22.5,46.8
Nelson city,2018,9200,15300,18200,10000,52700,17.5,29,34.5,19,43
Nelson city,2019,9200,15600,18300,10300,53400,17.3,29.1,34.3,19.3,43.1
Nelson city,2020,9200,16200,18500,10800,54700,16.8,29.7,33.8,19.7,43
Nelson city,2021,9100,16100,18300,11200,54700,16.6,29.5,33.5,20.4,43.4
Marlborough district,2018,8400,12900,16600,10800,48700,17.3,26.5,34.1,22.2,45.2
Marlborough district,2019,8400,13100,16700,11100,49300,17.1,26.5,34,22.5,45.5
Marlborough district,2020,8500,14100,17000,11400,51000,16.6,27.6,33.3,22.4,45.1
Marlborough district,2021,8500,14200,17000,11800,51500,16.5,27.5,33.1,22.9,45.3
Kaikoura district,2018,650,1100,1450,850,4060,15.9,27.2,35.8,21,46
Kaikoura district,2019,660,1090,1440,920,4110,16.1,26.6,35,22.3,46.6
Kaikoura district,2020,680,1120,1440,970,4220,16.2,26.5,34.2,23.1,46.5
Kaikoura district,2021,690,1120,1430,1020,4260,16.1,26.3,33.7,24,46.7
Buller district,2018,1610,2240,3750,2250,9850,16.3,22.8,38,22.9,49.3
Buller district,2019,1530,2170,3650,2400,9760,15.7,22.3,37.4,24.6,50.6
Buller district,2020,1480,2150,3560,2560,9740,15.2,22,36.5,26.3,51.7
Buller district,2021,1430,2060,3470,2700,9660,14.8,21.3,36,27.9,52.9
Grey district,2018,2600,3750,4900,2500,13750,18.9,27.4,35.5,18.2,43.6
Grey district,2019,2650,3800,4800,2600,13850,19,27.5,34.8,18.8,43.7
Grey district,2020,2650,3900,4800,2700,14100,18.9,27.6,34.2,19.3,43.7
Grey district,2021,2650,3900,4750,2800,14100,18.8,27.7,33.7,19.8,43.8
Westland district,2018,1450,2580,3220,1580,8830,16.4,29.2,36.5,17.9,44.2
Westland district,2019,1440,2550,3210,1640,8830,16.3,28.9,36.3,18.5,44.6
Westland district,2020,1440,2580,3210,1710,8930,16.1,28.9,35.9,19.1,44.7
Westland district,2021,1400,2560,3180,1770,8910,15.7,28.7,35.7,19.8,45.1
Hurunui district,2018,2450,3400,4550,2550,12950,19,26.2,35.3,19.5,44.1
Hurunui district,2019,2450,3400,4550,2650,13100,18.9,26.1,34.9,20.2,44.5
Hurunui district,2020,2450,3550,4550,2800,13350,18.5,26.4,34.2,20.9,44.6
Hurunui district,2021,2500,3500,4600,2900,13450,18.4,26.2,34,21.4,44.9
Waimakariri district,2018,11600,16700,21600,11500,61300,18.9,27.2,35.2,18.8,43.4
Waimakariri district,2019,11700,17100,21900,12200,62800,18.6,27.2,34.8,19.4,43.6
Waimakariri district,2020,11900,17700,22300,12900,64800,18.3,27.3,34.4,19.9,43.8
Waimakariri district,2021,12000,18200,22500,13600,66300,18.1,27.5,34,20.4,44
Christchurch city,2018,65100,142200,119800,56600,383800,17,37,31.2,14.8,36.9
Christchurch city,2019,65300,144000,119900,57900,387200,16.9,37.2,31,15,36.9
Christchurch city,2020,65500,146000,120800,59500,391900,16.7,37.2,30.8,15.2,37
Christchurch city,2021,65300,145200,120500,61200,392100,16.6,37,30.7,15.6,37.3
Selwyn district,2018,13800,20100,22100,7300,63300,21.9,31.7,34.9,11.5,37.3
Selwyn district,2019,14300,21300,22900,7800,66300,21.6,32.1,34.5,11.8,37.3
Selwyn district,2020,15000,22900,24000,8400,70200,21.3,32.6,34.1,12,37.3
Selwyn district,2021,15600,23900,24900,9100,73600,21.2,32.5,33.9,12.4,37.4
Ashburton district,2018,7000,10900,10700,6100,34600,20.1,31.5,30.9,17.6,38.7
Ashburton district,2019,7000,11100,10600,6200,34900,20.1,31.7,30.3,17.8,38.5
Ashburton district,2020,7000,11500,10700,6400,35700,19.8,32.2,30,18,38.3
Ashburton district,2021,7000,11600,10700,6600,35900,19.6,32.2,29.8,18.4,38.5
Timaru district,2018,8400,13100,15800,10300,47600,17.7,27.5,33.3,21.5,44.3
Timaru district,2019,8500,13200,15800,10500,47900,17.7,27.6,32.9,21.8,44.3
Timaru district,2020,8400,13400,15800,10600,48300,17.5,27.8,32.7,22,44.3
